Index;Weight;Edges;
0;196;10,6;10,1;1,7;1,8;7,2;8,9;9,5;5,4;5,3;
1;209;4,10;4,8;10,3;4,9;4,6;3,2;6,7;4,5;2,1;
2;142;2,9;2,1;9,5;1,3;3,4;1,6;2,8;1,7;9,10;
3;222;3,4;3,2;3,8;4,5;5,10;10,7;4,6;6,9;7,1;
4;152;10,2;2,8;2,1;2,4;2,5;5,9;2,7;8,3;4,6;
5;194;9,1;1,8;9,10;8,2;1,6;9,3;6,4;4,5;8,7;
6;209;9,2;9,3;2,6;2,1;9,7;9,5;9,4;1,8;9,10;
7;209;9,10;10,7;10,1;10,2;2,8;7,5;7,4;1,3;3,6;
8;247;7,8;8,5;5,1;8,9;7,2;2,4;5,3;9,10;9,6;
9;273;4,10;10,9;10,8;9,6;10,5;6,7;7,1;10,2;8,3;
10;242;6,7;6,4;6,8;7,1;8,3;4,9;9,5;6,2;6,10;
11;191;4,3;4,7;4,1;3,10;4,6;3,9;3,8;8,5;8,2;
12;212;8,3;8,7;3,1;8,4;4,6;1,5;8,9;5,2;5,10;
13;196;9,1;9,3;1,4;9,6;3,10;6,7;1,5;9,8;10,2;
14;196;7,3;3,2;2,10;10,6;3,8;3,4;7,9;4,5;4,1;
15;221;8,2;2,5;5,10;5,1;2,3;5,6;10,9;9,4;8,7;
16;235;7,6;6,10;7,5;6,9;5,4;4,8;6,1;7,3;4,2;
17;168;9,1;1,8;8,7;7,2;8,3;2,5;3,4;7,10;1,6;
18;169;2,4;2,6;4,5;5,10;4,8;4,1;1,3;6,9;2,7;
19;205;9,5;9,1;1,6;5,3;6,10;1,2;9,7;5,4;5,8;
20;223;2,10;2,1;2,7;10,5;7,3;10,4;5,6;7,8;5,9;
21;252;9,8;8,6;8,7;6,4;7,10;9,3;6,1;4,5;4,2;
22;179;8,4;4,1;8,3;4,9;4,5;1,6;3,10;4,2;5,7;
23;231;9,2;2,8;8,6;6,3;9,10;6,5;3,4;10,1;8,7;
24;183;2,10;2,6;2,8;8,1;10,7;1,9;7,3;7,5;8,4;
25;181;4,1;4,8;4,9;8,7;1,10;10,2;2,6;2,3;7,5;
26;254;5,6;6,8;6,3;8,9;9,10;8,4;8,1;4,7;9,2;
27;215;7,1;7,3;7,5;1,9;7,10;5,8;5,4;8,6;4,2;
28;214;10,3;10,7;3,8;3,9;9,2;10,4;3,1;3,5;7,6;
